date,MMM,AXP,T,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,DIS
2017-08-31,203.2945,85.4673,36.5118,238.3785,116.2538,106.6219,31.6976,44.8229,83.93,75.6301,24.1405,223.03900000000002,149.1147,34.8638,141.6146,131.5643,89.8935,159.02200000000002,62.8667,74.3964,52.6352,33.3043,90.8917,119.7927,119.0072,197.4812,46.8675,103.3369,77.2558,100.3924
2017-08-30,202.6677,85.0603,36.7165,239.1743,116.3132,106.7309,31.4811,44.6655,83.19,75.4022,23.875,221.7232,149.244,34.6848,141.1492,130.2722,90.3089,158.5846,62.1382,73.6402,52.2066,32.8429,90.4977,120.4155,118.8879,194.4827,47.013999999999996,103.5465,77.7209,102.0491
2017-08-29,201.9015,84.7923,36.8919,239.2041,114.7894,106.8597,30.9792,44.7245,82.24,75.749,24.0323,219.2709,149.0848,34.5258,141.7235,131.4052,90.1012,157.5011,62.1382,72.685,52.3755,32.8919,90.9409,121.6018,117.9933,195.3267,47.3951,103.5864,77.9485,101.7515
2017-08-28,201.4439,84.7824,36.9797,235.9118,113.8593,106.7606,31.0383,44.695,82.88,75.7688,24.0618,218.9119,149.7415,34.4463,141.0997,130.9381,90.5957,157.7876,62.3351,72.4661,53.3687,32.8625,91.0887,121.8192,114.6433,193.6984,47.4928,103.5964,77.2163,101.7416
2017-08-25,201.1155,84.8419,37.0284,234.6287,114.1363,107.2263,30.9399,44.8426,82.66,76.0165,24.0815,221.0181,148.0204,34.4661,142.3175,130.8785,90.8825,156.9477,61.961000000000006,72.4561,53.5376,32.7839,91.1281,125.0221,114.3849,192.9736,47.5612,103.1672,77.81,101.5928
2017-08-24,201.1056,84.7327,36.7262,237.4635,113.5723,106.4436,30.743000000000002,44.6852,82.39,75.6301,23.8946,221.5347,146.6357,34.5059,141.5255,131.2462,90.5166,156.5425,61.7346,72.3268,53.478,32.6268,90.8917,124.1325,114.6135,193.3608,47.1997,103.0374,77.523,100.7099
2017-08-23,201.6528,84.6533,36.9602,236.8169,113.5426,105.6213,30.4281,44.8131,82.76,75.9075,23.9831,221.2863,147.4764,34.4562,140.7334,131.1573,90.6649,156.9378,61.1833,72.3566,53.2495,32.6367,91.0591,125.7042,116.3332,192.8544,47.1704,102.9975,79.1261,100.69
2017-08-22,203.2597,84.6732,37.0187,238.4681,114.6014,105.3736,30.7726,44.8721,83.01,76.0363,24.1896,222.1208,148.2776,34.4463,139.6146,131.4052,90.5561,157.75799999999998,61.4491,72.7944,53.766000000000005,32.5483,91.4039,126.3073,115.0012,193.4005,47.2387,103.8859,79.1855,101.9499
2017-08-21,202.3594,84.6732,36.6288,234.4198,112.4047,104.79899999999999,30.191999999999997,44.9509,81.83,75.6796,24.0815,219.3491,147.5753,34.7147,138.9413,131.7993,89.6363,156.4931,61.0061,71.7895,53.2495,32.1654,91.4729,125.9909,114.5936,190.6602,47.0336,103.0374,78.8787,100.3627
2017-08-18,201.3503,84.7526,36.4241,234.5093,112.7214,105.4925,29.8869,44.941,81.18,75.9372,24.1405,220.7002,145.8839,34.8041,138.3175,130.9894,89.7451,155.9002,60.5336,72.1278,54.5805,32.077,91.0887,126.4259,114.7924,189.4588,46.5939,102.3287,78.4829,99.8964
2017-08-17,203.1508,85.4574,36.6483,234.3303,111.9496,104.9377,30.5462,45.128,80.86,75.5607,24.3371,219.9749,148.0402,34.9632,139.3076,131.3944,89.6561,156.0286,60.8781,72.0382,57.0737,32.3519,90.6947,126.7225,115.4087,191.3254,46.7893,101.9793,78.8688,100.571
2017-08-16,205.6933,86.7478,37.2623,236.3196,112.9193,105.8492,31.8255,45.4626,82.01,76.7596,24.6813,224.1376,150.5921,35.5994,141.0898,132.5104,91.0803,157.0267,61.7247,73.282,58.1464,32.7545,91.0591,127.9878,117.2974,192.3878,47.2974,103.1372,80.1355,101.3844
2017-08-15,204.9612,86.1522,37.1941,237.8912,112.4542,106.4932,31.5795,45.4527,81.58,77.3244,24.7206,226.1047,148.5347,35.7883,140.6641,131.7302,91.7133,155.7618,61.5278,72.8541,58.1663,32.7741,90.8227,127.5726,114.5737,193.1126,47.3658,102.2837,79.9277,100.7
2017-08-14,205.1492,84.8419,37.5255,235.882,112.5136,106.6305,31.3335,45.0689,81.15,77.5126,24.9369,225.8762,152.5802,36.1263,140.9116,131.8289,91.4759,155.4061,61.6952,72.8342,59.3781,32.7054,90.281,127.3156,115.7495,192.3282,47.6589,101.5263,79.8584,100.5908
2017-08-11,203.7741,83.6706,37.1356,233.6241,111.6626,107.1406,30.9694,44.8623,80.97,77.4928,24.7796,222.6871,153.1935,35.6591,140.4364,131.4536,90.4177,155.4456,61.4097,71.7554,58.5735,32.6465,89.9756,126.7126,115.4926,191.6431,46.9554,99.7523,79.5615,101.1761
2017-08-10,204.0214,83.9386,37.2233,231.6348,111.9595,108.0037,30.5069,45.0099,80.81,78.2458,24.8779,224.0283,152.2043,35.9275,140.4364,131.4437,91.1792,154.7736,61.2128,70.6766,58.6728,32.8134,90.3696,128.2053,115.3641,191.1963,46.9163,99.1543,79.8188,100.5412
2017-08-09,204.2687,85.0603,37.389,233.0571,113.137,108.7688,31.116999999999997,44.8623,81.33,78.7115,25.2811,229.5024,153.5693,36.3749,140.36700000000002,131.582,92.5045,153.0936,61.518,71.7257,59.4973,32.8429,90.5469,128.66,115.7989,193.4402,47.1117,100.6293,80.7589,102.0094
2017-08-08,204.2193,85.3085,37.389,236.80700000000002,113.2062,108.2391,31.1662,44.8721,81.12,78.4662,25.1336,230.5356,151.6801,36.1959,140.7037,130.6339,92.6529,153.0936,61.3506,72.0424,59.0602,32.6759,90.212,127.0783,116.777,193.5097,47.483000000000004,100.9383,80.2344,106.1263
